name,number,game_id,place,date
[music party] ,#9,65996,Old School Pub,"1 ноября, Среда"
[мультики] ,#8,65997,Papa' S Bar & Grill,"1 ноября, Среда"
[новички] ,#899,65984,Резиденция,"1 ноября, Среда"
"Квиз, плиз! ",#899,65994,Chesterfield Bar,"1 ноября, Среда"
[HALLOWEEN] ,#3,65986,Резиденция,"31 октября, Вторник"
"Квиз, плиз! ",#899,65993,Chesterfield Bar,"31 октября, Вторник"
[music party] кринж эдишн ,#2,65790,Chesterfield Bar,"30 октября, Понедельник"
"Квиз, плиз! ",#899,65985,Резиденция,"30 октября, Понедельник"
"Квиз, плиз! ",#898,65679,Chesterfield Bar,"29 октября, Воскресенье"
"Квиз, плиз!.jpeg [стрим] ",#2,65978,"Везде, где есть интернет","29 октября, Воскресенье"
[300к1] 18+ ,#3,65661,Резиденция,"29 октября, Воскресенье"
[HALLOWEEN] ,#3,65760,Papa' S Bar & Grill,"29 октября, Воскресенье"
[music party] ,#9,65680,Chesterfield Bar,"29 октября, Воскресенье"
"Квиз, плиз! ",#898,65678,Chesterfield Bar,"28 октября, Суббота"
"Квиз, плиз! [стрим] ",#379,65977,"Везде, где есть интернет","28 октября, Суббота"
[Гарри Поттер] Битва факультетов ,#2,65660,Резиденция,"28 октября, Суббота"
"Квиз, плиз! ",#897,65671,"Дорогая, я перезвоню","28 октября, Суббота"
"Квиз, плиз! ",#898,65666,Papa' S Bar & Grill,"28 октября, Суббота"
[кино и музыка] ,#144,65681,Chesterfield Bar,"28 октября, Суббота"
[Октоберфест] ,#1,65663,Bla Bla Bar,"28 октября, Суббота"
[HALLOWEEN] ,#3,65402,Резиденция,"27 октября, Пятница"
[шазам] 2010-е ,#2,65673,CLUB LIBERTY BAR,"27 октября, Пятница"
"Квиз, плиз! ",#898,65677,Chesterfield Bar,"27 октября, Пятница"
"Квиз, плиз! [стрим] ",#378,65979,"Везде, где есть интернет","27 октября, Пятница"
"Квиз, плиз! ",#897,65665,Papa' S Bar & Grill,"27 октября, Пятница"
[300к1] 18+ ,#3,65668,Bla Bla Bar,"26 октября, Четверг"
[кино и музыка] ,#144,65659,Резиденция,"26 октября, Четверг"
[мультики] ,#8,65672,CLUB LIBERTY BAR,"26 октября, Четверг"
"Квиз, плиз! ",#896,65669,Известия Hall,"26 октября, Четверг"
"Квиз, плиз! ",#897,65670,"Дорогая, я перезвоню","26 октября, Четверг"
"Квиз, плиз! ",#897,65676,Chesterfield Bar,"26 октября, Четверг"
[music party] ,#9,65662,Old School Pub,"25 октября, Среда"
[новички] ,#896,65658,Резиденция,"25 октября, Среда"
[Октоберфест] ,#1,65390,LION'S HEAD PUB,"25 октября, Среда"
"Квиз, плиз! ",#896,65675,Chesterfield Bar,"25 октября, Среда"
[назад в СССР] ,#7,65664,Papa' S Bar & Grill,"24 октября, Вторник"
"Квиз, плиз! ",#896,65674,Chesterfield Bar,"24 октября, Вторник"
Кино и музыка [новички] ,#143,65657,Резиденция,"24 октября, Вторник"
[300к1] 18+ ,#3,65368,Chesterfield Bar,"23 октября, Понедельник"
"Квиз, плиз! ",#896,65656,Резиденция,"23 октября, Понедельник"
"Квиз, плиз! ",#895,65235,Chesterfield Bar,"22 октября, Воскресенье"
Кино и музыка [стрим] ,#90,65655,"Везде, где есть интернет","22 октября, Воскресенье"
[шазам] 2010-е ,#2,65216,Резиденция,"22 октября, Воскресенье"
[music party] ,#9,65237,Chesterfield Bar,"22 октября, Воскресенье"
[teens] ,#30,65223,Old School Pub,"22 октября, Воскресенье"
"Квиз, плиз! ",#895,65233,Chesterfield Bar,"21 октября, Суббота"
"Квиз, плиз! [стрим] ",#377,65653,"Везде, где есть интернет","21 октября, Суббота"
[Телеигры] ,#3,65222,"Дорогая, я перезвоню","21 октября, Суббота"
"Квиз, плиз! ",#894,65215,Резиденция,"21 октября, Суббота"
[мультики] ,#8,65012,Chesterfield Bar,"21 октября, Суббота"
[назад в СССР] ,#7,65218,Old School Pub,"21 октября, Суббота"
[Гарри Поттер] Битва факультетов ,#2,65227,Известия Hall,"20 октября, Пятница"
[кино и музыка] ,#143,65214,Резиденция,"20 октября, Пятница"
"Квиз, плиз! ",#895,65232,Chesterfield Bar,"20 октября, Пятница"
"Квиз, плиз! ",#895,65225,CLUB LIBERTY BAR,"20 октября, Пятница"
"Квиз, плиз! [стрим] ",#376,65650,"Везде, где есть интернет","20 октября, Пятница"
"Квиз, плиз! ",#894,65226,Papa' S Bar & Grill,"20 октября, Пятница"
